"","rank","season","player","age","team","fpv","mvppts","ptsmax","share","games","mpg","ppg","rbpg","astpg","stlpg","blkpg","fgp","threepp","ftp","player_id","poss","tmp","rap_o","rap_d","rap_tot","war_tot","war_reg","war_play","pred_o","pred_d","pred_tot","pace_impact","nposts","avg_upvotes","avg_comments","comp","pos","neu","neg"
"1","11",2010,"Manu Ginobili",32,"SAS",0,3,1230,0.002,75,28.7,16.5,3.8,4.9,1.4,0.3,0.441,0.377,0.87,"ginobma01",4829,2502,5.732501882,1.116681385,6.849183266,12.3244807,10.41831132,1.906169377,5.790624154,1.393387206,7.18401136,0.081639394,2,46,13,-0.421,0,0.641,0.359
"2","8",2011,"Manu Ginobili",33,"SAS",0,20,1210,0.017,80,30.3,17.4,3.7,4.9,1.5,0.4,0.433,0.349,0.871,"ginobma01",5052,2600,6.044526925,1.776115052,7.820641977,14.08302761,13.11535641,0.967671201,6.244892079,1.888387034,8.133279113,0.206893143,6,209,43,0,0,1,0
"3","16",2014,"Goran Dragic",27,"PHO",0,3,1250,0.002,76,35.1,20.3,3.2,5.9,1.4,0.3,0.505,0.408,0.76,"dragigo01",5389,2668,4.826053679,0.191101625,5.017155304,10.5505868,10.5505868,0,4.465946486,0.681530218,5.147476705,-0.201129559,25,2251,970,0,0,1,0
"4","4",2019,"Nikola Jokic",23,"DEN",0,212,1010,0.21,80,31.3,20.1,10.8,7.3,1.4,0.7,0.511,0.307,0.821,"jokicni01",6219,3061,6.080263137,2.664693182,8.74495632,18.19761224,13.03130189,5.166310349,5.866490159,3.150483687,9.016973845,0.178082281,25,14854,559,0,0,1,0
"5","4",2020,"Luka Doncic",20,"DAL",0,200,1010,0.198,61,33.6,28.8,9.4,8.8,1,0.2,0.463,0.316,0.758,"doncilu01",4775,2262,7.397159485,-1.068008544,6.329150941,10.64446575,9.936518816,0.707946934,7.909136834,-1.456047114,6.45308972,1.350775376,25,11317,910,0,0,1,0
"6","9",2020,"Nikola Jokic",24,"DEN",0,18,1010,0.018,73,32,19.9,9.7,7,1.2,0.6,0.528,0.314,0.817,"jokicni01",6082,3030,4.60096554,0.475986351,5.076951891,12.13295997,9.380333757,2.752626217,5.35236176,1.751800264,7.104162023,-0.40383324,25,14125,450,0.226,0.058,0.942,0
"7","1",2021,"Nikola Jokic",25,"DEN",91,971,1010,0.961,72,34.6,26.4,10.8,8.3,1.3,0.7,0.566,0.388,0.868,"jokicni01",5787,2833,8.59796770192476,0.651521234227334,9.24948893615209,17.5339165206694,15.7560312359587,1.77788528471075,8.68570045173231,1.0185306920442,9.70423114377651,0.791221853692214,25,14898,2000,0.34,0.13,0.87,0
"8","6",2021,"Luka Doncic",21,"DAL",0,42,1010,0.042,66,34.3,27.7,8,8.6,1,0.5,0.479,0.35,0.73,"doncilu01",5235,2543,6.64165405276573,-0.789069940314123,5.85258411245161,11.4026449506247,9.29776593129739,2.10487901932728,7.43545995944086,-1.20229205689852,6.23316790254233,1.22450940082698,24,2845,1730,0.128,0.081,0.919,0
"9","1",2010,"LeBron James",25,"CLE",116,1205,1230,0.98,76,39,29.7,7.3,8.6,1.6,1,0.503,0.333,0.767,"jamesle01",6611,3426,9.196731423,2.250083757,11.44681518,24.81281621,21.80502538,3.007790833,9.158159023,1.967559351,11.12571837,-0.376950737,25,71,19,0,0,1,0
"10","2",2010,"Kevin Durant",21,"OKC",4,609,1230,0.495,82,39.5,30.1,7.6,2.8,1.4,1,0.476,0.365,0.9,"duranke01",6795,3470,5.202070753,1.802995972,7.005066725,17.19781413,16.77985266,0.417961474,5.060888579,1.385219442,6.446108021,-0.336266998,12,24,4,0.077,0.158,0.702,0.14
"11","3",2010,"Kobe Bryant",31,"LAL",0,599,1230,0.487,73,38.8,27,5.4,5,1.5,0.3,0.456,0.329,0.811,"bryanko01",7287,3758,4.248726021,1.093790366,5.342516387,15.70856927,10.7461469,4.962422364,4.474323474,1.242222573,5.716546048,0.046163,25,84,25,0.459,0.176,0.824,0
"12","4",2010,"Dwight Howard",24,"ORL",3,478,1230,0.389,82,34.7,18.3,13.2,1.8,0.9,2.8,0.612,0,0.592,"howardw01",6418,3340,0.854158659,5.033301285,5.887459944,14.80061689,12.54723,2.253386892,1.203133374,4.623494445,5.826627819,0.085673756,25,119,26,-0.153,0,0.833,0.167
"13","5",2010,"Dwyane Wade",28,"MIA",0,119,1230,0.097,77,36.3,26.6,4.8,6.5,1.8,1.1,0.476,0.3,0.761,"wadedw01",5675,3002,7.211522958,1.721536845,8.933059803,17.93644907,16.59208546,1.344363615,6.940761081,1.781978223,8.722739304,0.011429894,15,55,49,0,0,1,0
"14","6",2010,"Carmelo Anthony",25,"DEN",0,65,1230,0.053,69,38.2,28.2,6.6,3.2,1.3,0.4,0.458,0.316,0.83,"anthoca01",5776,2888,3.392805436,-0.527099653,2.865705783,8.303335631,7.233331128,1.070004503,3.75743003,-0.313073363,3.444356667,-0.00238793,25,50,34,0,0,1,0
"15","7",2010,"Dirk Nowitzki",31,"DAL",0,55,1230,0.045,81,37.5,25,7.7,2.7,0.9,1,0.481,0.421,0.915,"nowitdi01",6358,3272,2.253263956,0.733149653,2.986413609,9.559727335,8.461719744,1.09800759,2.285205497,0.841536433,3.12674193,-0.64030196,3,22,5,0,0,1,0
"16","8",2010,"Steve Nash",35,"PHO",0,49,1230,0.04,81,32.8,16.5,3.3,11,0.5,0.1,0.507,0.426,0.938,"nashst01",6374,3199,6.745587951,-1.969484463,4.776103488,12.21554584,10.03325775,2.182288086,6.434660575,-2.444117664,3.990542911,-1.045070821,23,46,27,0,0,1,0
"17","9",2010,"Deron Williams",25,"UTA",0,7,1230,0.006,76,36.9,18.7,4,10.5,1.3,0.2,0.469,0.371,0.801,"willide01",6326,3200,5.72484464,-0.026439482,5.698405158,13.81375381,11.71705862,2.096695186,5.58680337,0.216839073,5.803642443,-0.291489186,18,91,124,0.25,0.182,0.818,0
"18","10",2010,"Amar'e Stoudemire",27,"PHO",0,5,1230,0.004,82,34.6,23.1,8.9,1,0.6,1,0.557,0.167,0.771,"stoudam01",6818,3422,1.935621393,-1.23155066,0.704070732,6.056543114,4.855641628,1.200901486,2.313986754,-0.756532358,1.557454396,-0.25533907,7,16,11,0.237,0.138,0.706,0.156
"19","12T",2010,"Chauncey Billups",33,"DEN",0,1,1230,0.001,73,34.1,19.5,3.1,5.6,1.1,0.1,0.418,0.386,0.91,"billuch01",5393,2697,4.386367115,-1.366583976,3.01978314,7.941878552,7.338960622,0.60291793,4.445834198,-1.149694551,3.296139647,-0.18852,7,27,7,-0.361,0,0.667,0.333
"20","12T",2010,"Chris Bosh",25,"TOR",0,1,1230,0.001,70,36.1,24,10.8,2.4,0.6,1,0.518,0.364,0.797,"boshch01",4956,2526,2.463299654,-0.350230657,2.113068997,6.215812036,6.215812036,0,2.754176822,-0.241048038,2.513128784,-0.77196449,25,112,49,0,0,1,0
"21","12T",2010,"Stephen Jackson",31,"TOT",0,1,1230,0.001,81,38.6,20.6,5,3.7,1.6,0.5,0.423,0.328,0.779,"jacksst02",6305,3285,0.099517137,0.543444002,0.642961139,5.789096478,5.778312906,0.010783572,0.541407481,0.783313212,1.324720693,1.133895174,2,3,6,0.586,0.432,0.568,0
"22","12T",2010,"Joe Johnson",28,"ATL",0,1,1230,0.001,76,38,21.3,4.6,4.9,1.1,0.1,0.458,0.369,0.818,"johnsjo02",6275,3326,3.689122893,-1.761805638,1.927317255,7.880368715,7.564643302,0.315725414,3.808736201,-1.34222932,2.466506881,-0.373828962,2,12,30,0.49,0.105,0.895,0
"23","1",2011,"Derrick Rose",22,"CHI",113,1182,1210,0.977,81,37.4,25,4.1,7.7,1,0.6,0.445,0.332,0.858,"rosede01",6952,3675,5.296784415,-0.293385307,5.003399109,14.54526589,12.03425508,2.511010812,5.470552,-0.208708644,5.261843357,-0.404640451,25,462,269,0.527,0.327,0.673,0
"24","2",2011,"Dwight Howard",25,"ORL",3,643,1210,0.531,78,37.6,22.9,14.1,1.4,1.4,2.4,0.593,0,0.596,"howardw01",6112,3193,1.060005383,5.117279355,6.177284738,14.55860261,13.64389718,0.914705429,1.389414195,4.831579786,6.220993981,0.016591126,25,669,33,-0.226,0,0.678,0.322
"25","3",2011,"LeBron James",26,"MIA",4,522,1210,0.431,79,38.8,26.7,7.5,7,1.6,0.6,0.51,0.33,0.759,"jamesle01",7544,3985,6.041355599,1.546103098,7.587458697,21.08700843,16.49667462,4.590333809,6.311465546,1.520262568,7.831728114,-0.219552029,25,500,135,0,0,1,0
"26","4",2011,"Kobe Bryant",32,"LAL",1,428,1210,0.354,82,33.9,25.3,5.1,4.7,1.2,0.1,0.451,0.323,0.828,"bryanko01",5956,3133,4.484788891,-1.163196222,3.32159267,9.724589763,8.869805536,0.854784227,4.842079455,-0.985619088,3.856460367,0.065718577,25,245,99,0,0,1,0
"27","5",2011,"Kevin Durant",22,"OKC",0,190,1210,0.157,78,38.9,27.7,6.8,2.7,1.1,1,0.462,0.35,0.88,"duranke01",7316,3760,4.70705596,-0.469041773,4.238014187,13.48756289,10.27843917,3.209123721,4.988132756,-0.443578242,4.544554514,-0.197778363,25,436,93,0.44,0.326,0.674,0
"28","6",2011,"Dirk Nowitzki",32,"DAL",0,113,1210,0.093,73,34.3,23,7,2.6,0.5,0.6,0.517,0.393,0.892,"nowitdi01",6325,3330,4.241465123,1.906615135,6.148080257,15.1640799,11.1110065,4.053073399,4.178250187,1.572129367,5.750379554,-0.527227057,24,166,16,0,0,1,0
"29","7",2011,"Dwyane Wade",29,"MIA",0,24,1210,0.02,76,37.1,25.5,6.4,4.6,1.5,1.1,0.5,0.306,0.758,"wadedw01",6913,3651,5.608767498,1.208391006,6.817158504,17.94149273,13.56792518,4.373567552,5.733381979,1.438759395,7.172141374,-0.116533519,25,240,46,-0.511,0,0.645,0.355
"30","9",2011,"Amar'e Stoudemire",28,"NYK",0,9,1210,0.007,78,36.8,25.3,8.2,2.6,0.9,1.9,0.502,0.435,0.792,"stoudam01",6041,3004,0.379330681,-1.84257205,-1.463241369,1.930809824,2.361112609,-0.430302785,0.839997697,-1.459355284,-0.619357587,-0.395565011,4,15,5,0,0,1,0
"31","10T",2011,"Blake Griffin",21,"LAC",0,5,1210,0.004,82,38,22.5,12.1,3.8,0.8,0.5,0.506,0.292,0.642,"griffbl01",6086,3112,1.684324409,0.411364967,2.095689376,7.661477392,7.661477392,0,1.641411443,0.69227674,2.333688183,-0.39039318,25,866,320,0,0,1,0
"32","10T",2011,"Rajon Rondo",24,"BOS",0,5,1210,0.004,68,37.2,10.6,4.4,11.2,2.3,0.2,0.475,0.233,0.568,"rondora01",5462,2872,1.928382655,1.880777919,3.809160575,9.561271133,8.785548359,0.775722774,1.965620973,2.03695444,4.002575414,-0.657251439,25,195,56,0,0,1,0
"33","12",2011,"Tony Parker",28,"SAS",0,3,1210,0.002,78,32.4,17.5,3.1,6.6,1.2,0,0.519,0.357,0.769,"parketo01",5340,2749,1.92811357,0.321364919,2.249478489,6.97391753,6.740982106,0.232935424,1.978517964,0.402481975,2.380999939,-0.511285662,17,91,21,-0.527,0,0.541,0.459
"34","13",2011,"Chris Paul",25,"NOH",0,2,1210,0.002,80,36,15.9,4.1,9.8,2.4,0.1,0.463,0.388,0.878,"paulch01",5832,3130,6.665403171,2.383542793,9.048945964,18.82118457,17.09198892,1.729195656,6.315340884,3.117851109,9.433191993,-0.391306995,24,286,622,-0.718,0,0.815,0.185
"35","1",2012,"LeBron James",27,"MIA",85,1074,1210,0.888,62,37.5,27.1,7.9,6.2,1.9,0.8,0.531,0.362,0.771,"jamesle01",6293,3309,7.897845729,2.09039534,9.988241069,21.64944658,14.64251251,7.006934064,7.896980707,1.868152192,9.7651329,-0.364794159,25,1332,191,-0.557,0,0.825,0.175
"36","2",2012,"Kevin Durant",23,"OKC",24,889,1210,0.735,66,38.6,28,8,3.5,1.3,1.2,0.496,0.387,0.86,"duranke01",6588,3383,5.218257159,0.134707641,5.3529648,14.10970636,9.951093401,4.158612959,5.629979481,0.13316777,5.763147251,-0.113089413,25,370,191,0,0,1,0
"37","3",2012,"Chris Paul",26,"LAC",6,385,1210,0.318,60,36.4,19.8,3.6,9.1,2.5,0.1,0.478,0.371,0.861,"paulch01",4892,2604,7.315335464,1.771082973,9.086418437,15.7497336,14.16328005,1.586453547,7.245040243,2.520363865,9.765404108,-0.088956975,25,2527,345,-0.34,0,0.806,0.194
"38","4",2012,"Kobe Bryant",33,"LAL",2,352,1210,0.291,58,38.5,27.9,5.4,4.6,1.2,0.3,0.43,0.303,0.845,"bryanko01",5152,2708,3.318463652,-0.714734166,2.603729486,7.45844328,5.696979211,1.761464069,3.794936938,-0.387644305,3.407292633,0.015941461,25,561,281,0,0,1,0
"39","5",2012,"Tony Parker",29,"SAS",4,331,1210,0.274,60,32.1,18.3,2.9,7.7,1,0.1,0.48,0.23,0.799,"parketo01",4750,2429,3.854630474,1.241912013,5.096542488,9.705525504,7.850905504,1.85462,3.889174519,1.061178159,4.950352678,-0.695249398,25,445,109,0,0,1,0
"40","6",2012,"Kevin Love",23,"MIN",0,58,1210,0.048,55,39,26,13.3,2,0.9,0.5,0.448,0.372,0.824,"loveke01",4217,2145,5.148193527,-0.121748892,5.026444636,8.473368843,8.473368843,0,5.297640155,0.579650198,5.877290353,-0.401603665,25,368,69,0.896,0.241,0.759,0
"41","7",2012,"Dwight Howard",26,"ORL",0,13,1210,0.011,54,38.3,20.6,14.5,1.9,1.5,2.1,0.573,0,0.491,"howardw01",3882,2070,-0.298883,4.690059134,4.391176134,7.556445782,7.556445782,0,0.287981091,4.638162591,4.926143682,0.178161564,25,630,158,0,0,1,0
"42","8",2012,"Rajon Rondo",25,"BOS",0,12,1210,0.01,53,36.9,11.9,4.8,11.7,1.8,0.1,0.448,0.238,0.597,"rondora01",5227,2767,2.874384349,1.432791889,4.307176238,10.05799803,5.954518979,4.103479055,2.81978331,1.674701631,4.49448494,-0.544042742,25,969,88,0.681,0.211,0.789,0
"43","9",2012,"Steve Nash",37,"PHO",0,7,1210,0.006,62,31.6,12.5,3,10.7,0.6,0.1,0.532,0.39,0.894,"nashst01",3827,1961,5.021989062,-1.205816978,3.816172084,6.492730438,6.492730438,0,4.408024782,-1.889583593,2.518441189,-1.078766914,25,1420,111,0.318,0.187,0.813,0
"44","10",2012,"Dwyane Wade",30,"MIA",0,6,1210,0.005,49,33.2,22.1,4.8,4.6,1.7,1.3,0.497,0.268,0.791,"wadedw01",4805,2532,4.299322523,2.442983368,6.742305891,12.34222149,8.295466567,4.046754924,4.408232022,2.397469292,6.805701314,-0.19827165,25,880,896,0,0,1,0
"45","11",2012,"Derrick Rose",23,"CHI",0,5,1210,0.004,39,35.3,21.8,3.4,7.9,0.9,0.7,0.435,0.312,0.812,"rosede01",2651,1412,5.043827737,-0.037372176,5.006455561,5.563450453,5.420996333,0.14245412,5.197645597,-0.10170084,5.095944757,-0.472799784,25,837,380,-0.226,0,0.863,0.137
"46","12T",2012,"Dirk Nowitzki",33,"DAL",0,4,1210,0.003,62,33.5,21.6,6.7,2.2,0.7,0.5,0.457,0.368,0.896,"nowitdi01",4298,2233,2.44098183,0.348885419,2.789867248,6.305778016,5.887256008,0.418522008,2.401078675,0.284666638,2.685745313,-0.265286559,14,196,98,-0.318,0,0.839,0.161
"47","12T",2012,"Russell Westbrook",23,"OKC",0,4,1210,0.003,66,35.3,23.6,4.6,5.5,1.7,0.3,0.457,0.316,0.823,"westbru01",6032,3098,4.427224611,0.114132545,4.541357157,11.61815952,8.508281841,3.10987768,5.022908637,0.524944713,5.54785335,-0.03944713,25,371,96,0,0,1,0
"48","14",2012,"Tim Duncan",35,"SAS",0,3,1210,0.002,58,28.2,15.4,9,2.3,0.7,1.5,0.492,0,0.695,"duncati01",4101,2097,0.458033572,4.411248989,4.869282561,8.145940835,5.95339,2.192550834,0.95557168,3.751778095,4.707349775,-0.824534091,25,866,82,0.202,0.087,0.913,0
"49","15",2012,"Joe Johnson",30,"ATL",0,1,1210,0.001,60,35.5,18.8,3.7,3.9,0.8,0.2,0.454,0.388,0.849,"johnsjo02",4493,2370,3.020896118,-1.025442592,1.995453527,5.717804426,5.304919002,0.412885423,2.9597538,-0.904474848,2.055278951,-0.427343079,25,483,109,0.586,0.241,0.759,0
"50","1",2013,"LeBron James",28,"MIA",120,1207,1210,0.998,76,37.9,26.8,8,7.3,1.7,0.9,0.565,0.406,0.753,"jamesle01",7265,3837,8.529732991,1.092302181,9.622035172,24.21956155,18.43211,5.787451547,8.668272788,1.078147967,9.746420755,-0.614577772,25,2543,1092,0,0,1,0
"51","2",2013,"Kevin Durant",24,"OKC",0,765,1210,0.632,81,38.5,28.1,7.9,4.6,1.4,1.3,0.51,0.416,0.905,"duranke01",7080,3604,6.510810064,1.030344845,7.541154908,18.88967471,16.55871957,2.330955138,6.518218092,0.834939125,7.353157217,-0.498705203,25,1290,274,0,0,1,0
"52","3",2013,"Carmelo Anthony",28,"NYK",1,475,1210,0.393,67,37,28.7,6.9,2.6,0.8,0.5,0.449,0.379,0.83,"anthoca01",5575,2963,3.717960149,-2.082130046,1.635830103,6.619643742,6.362543303,0.257100439,4.352629501,-1.626877025,2.725752476,0.203158611,25,2244,936,0,0,1,0
"53","4",2013,"Chris Paul",27,"LAC",0,289,1210,0.239,70,33.4,16.9,3.7,9.7,2.4,0.1,0.481,0.328,0.885,"paulch01",4898,2559,8.042483558,1.289291219,9.331774777,15.78194504,14.3301268,1.451818238,7.819233624,2.108363371,9.927596995,-0.219603224,25,333,250,-0.402,0,0.787,0.213
