"","Rank","Player","Age","Tm","First","Pts Won","Pts Max","Share","G","MP","PTS","TRB","AST","STL","BLK","FG%","3P%","FT%","WS","WS/48","season"
"157","4","Dwight Howard","24","ORL","3.0","478.0","1230","0.389","82","34.7","18.3","13.2","1.8","0.9","2.8",".612",".000",".592","13.2",".223",2010
"158","5","Dwyane Wade","28","MIA","0.0","119.0","1230","0.097","77","36.3","26.6","4.8","6.5","1.8","1.1",".476",".300",".761","13.0",".224",2010
"159","6","Carmelo Anthony","25","DEN","0.0","65.0","1230","0.053","69","38.2","28.2","6.6","3.2","1.3","0.4",".458",".316",".830","7.9",".145",2010
"160","7","Dirk Nowitzki","31","DAL","0.0","55.0","1230","0.045","81","37.5","25.0","7.7","2.7","0.9","1.0",".481",".421",".915","12.3",".194",2010
"161","8","Steve Nash","35","PHO","0.0","49.0","1230","0.040","81","32.8","16.5","3.3","11.0","0.5","0.1",".507",".426",".938","9.9",".178",2010
"162","9","Deron Williams","25","UTA","0.0","7.0","1230","0.006","76","36.9","18.7","4.0","10.5","1.3","0.2",".469",".371",".801","10.3",".177",2010
"163","10","Amar'e Stoudemire","27","PHO","0.0","5.0","1230","0.004","82","34.6","23.1","8.9","1.0","0.6","1.0",".557",".167",".771","10.7",".181",2010
"164","11","Manu Ginóbili","32","SAS","0.0","3.0","1230","0.002","75","28.7","16.5","3.8","4.9","1.4","0.3",".441",".377",".870","9.7",".216",2010
"165","12T","Chauncey Billups","33","DEN","0.0","1.0","1230","0.001","73","34.1","19.5","3.1","5.6","1.1","0.1",".418",".386",".910","9.5",".182",2010
"166","12T","Chris Bosh","25","TOR","0.0","1.0","1230","0.001","70","36.1","24.0","10.8","2.4","0.6","1.0",".518",".364",".797","9.6",".182",2010
"167","12T","Stephen Jackson","31","TOT","0.0","1.0","1230","0.001","81","38.6","20.6","5.0","3.7","1.6","0.5",".423",".328",".779","5.0",".077",2010
"168","12T","Joe Johnson","28","ATL","0.0","1.0","1230","0.001","76","38.0","21.3","4.6","4.9","1.1","0.1",".458",".369",".818","8.4",".140",2010
"169","1","Derrick Rose","22","CHI","113.0","1182.0","1210","0.977","81","37.4","25.0","4.1","7.7","1.0","0.6",".445",".332",".858","13.1",".208",2011
"170","2","Dwight Howard","25","ORL","3.0","643.0","1210","0.531","78","37.6","22.9","14.1","1.4","1.4","2.4",".593",".000",".596","14.4",".235",2011
"171","3","LeBron James","26","MIA","4.0","522.0","1210","0.431","79","38.8","26.7","7.5","7.0","1.6","0.6",".510",".330",".759","15.6",".244",2011
"172","4","Kobe Bryant","32","LAL","1.0","428.0","1210","0.354","82","33.9","25.3","5.1","4.7","1.2","0.1",".451",".323",".828","10.3",".178",2011
"173","5","Kevin Durant","22","OKC","0.0","190.0","1210","0.157","78","38.9","27.7","6.8","2.7","1.1","1.0",".462",".350",".880","12.0",".189",2011
"174","6","Dirk Nowitzki","32","DAL","0.0","113.0","1210","0.093","73","34.3","23.0","7.0","2.6","0.5","0.6",".517",".393",".892","11.1",".213",2011
"175","7","Dwyane Wade","29","MIA","0.0","24.0","1210","0.020","76","37.1","25.5","6.4","4.6","1.5","1.1",".500",".306",".758","12.8",".218",2011
"176","8","Manu Ginóbili","33","SAS","0.0","20.0","1210","0.017","80","30.3","17.4","3.7","4.9","1.5","0.4",".433",".349",".871","9.9",".195",2011
"177","9","Amar'e Stoudemire","28","NYK","0.0","9.0","1210","0.007","78","36.8","25.3","8.2","2.6","0.9","1.9",".502",".435",".792","8.0",".134",2011
"178","10T","Blake Griffin","21","LAC","0.0","5.0","1210","0.004","82","38.0","22.5","12.1","3.8","0.8","0.5",".506",".292",".642","9.8",".152",2011
"179","10T","Rajon Rondo","24","BOS","0.0","5.0","1210","0.004","68","37.2","10.6","4.4","11.2","2.3","0.2",".475",".233",".568","6.6",".126",2011
"180","12","Tony Parker","28","SAS","0.0","3.0","1210","0.002","78","32.4","17.5","3.1","6.6","1.2","0.0",".519",".357",".769","8.2",".156",2011
"181","13","Chris Paul","25","NOH","0.0","2.0","1210","0.002","80","36.0","15.9","4.1","9.8","2.4","0.1",".463",".388",".878","13.9",".232",2011
"182","1","LeBron James","27","MIA","85.0","1074.0","1210","0.888","62","37.5","27.1","7.9","6.2","1.9","0.8",".531",".362",".771","14.5",".298",2012
"183","2","Kevin Durant","23","OKC","24.0","889.0","1210","0.735","66","38.6","28.0","8.0","3.5","1.3","1.2",".496",".387",".860","12.2",".230",2012
"184","3","Chris Paul","26","LAC","6.0","385.0","1210","0.318","60","36.4","19.8","3.6","9.1","2.5","0.1",".478",".371",".861","12.7",".278",2012
"185","4","Kobe Bryant","33","LAL","2.0","352.0","1210","0.291","58","38.5","27.9","5.4","4.6","1.2","0.3",".430",".303",".845","6.2",".132",2012
"186","5","Tony Parker","29","SAS","4.0","331.0","1210","0.274","60","32.1","18.3","2.9","7.7","1.0","0.1",".480",".230",".799","7.1",".177",2012
"187","6","Kevin Love","23","MIN","0.0","58.0","1210","0.048","55","39.0","26.0","13.3","2.0","0.9","0.5",".448",".372",".824","10.0",".223",2012
"188","7","Dwight Howard","26","ORL","0.0","13.0","1210","0.011","54","38.3","20.6","14.5","1.9","1.5","2.1",".573",".000",".491","7.7",".179",2012
"189","8","Rajon Rondo","25","BOS","0.0","12.0","1210","0.010","53","36.9","11.9","4.8","11.7","1.8","0.1",".448",".238",".597","4.9",".121",2012
"190","9","Steve Nash","37","PHO","0.0","7.0","1210","0.006","62","31.6","12.5","3.0","10.7","0.6","0.1",".532",".390",".894","5.9",".144",2012
"191","10","Dwyane Wade","30","MIA","0.0","6.0","1210","0.005","49","33.2","22.1","4.8","4.6","1.7","1.3",".497",".268",".791","7.7",".227",2012
"192","11","Derrick Rose","23","CHI","0.0","5.0","1210","0.004","39","35.3","21.8","3.4","7.9","0.9","0.7",".435",".312",".812","6.0",".211",2012
"193","12T","Dirk Nowitzki","33","DAL","0.0","4.0","1210","0.003","62","33.5","21.6","6.7","2.2","0.7","0.5",".457",".368",".896","7.6",".175",2012
"194","12T","Russell Westbrook","23","OKC","0.0","4.0","1210","0.003","66","35.3","23.6","4.6","5.5","1.7","0.3",".457",".316",".823","7.9",".163",2012
"195","14","Tim Duncan","35","SAS","0.0","3.0","1210","0.002","58","28.2","15.4","9.0","2.3","0.7","1.5",".492",".000",".695","5.9",".174",2012
"196","15","Joe Johnson","30","ATL","0.0","1.0","1210","0.001","60","35.5","18.8","3.7","3.9","0.8","0.2",".454",".388",".849","6.4",".145",2012
"197","1","LeBron James","28","MIA","120.0","1207.0","1210","0.998","76","37.9","26.8","8.0","7.3","1.7","0.9",".565",".406",".753","19.3",".322",2013
"198","2","Kevin Durant","24","OKC","0.0","765.0","1210","0.632","81","38.5","28.1","7.9","4.6","1.4","1.3",".510",".416",".905","18.9",".291",2013
"199","3","Carmelo Anthony","28","NYK","1.0","475.0","1210","0.393","67","37.0","28.7","6.9","2.6","0.8","0.5",".449",".379",".830","9.5",".184",2013
"200","4","Chris Paul","27","LAC","0.0","289.0","1210","0.239","70","33.4","16.9","3.7","9.7","2.4","0.1",".481",".328",".885","13.9",".287",2013
"201","5","Kobe Bryant","34","LAL","0.0","184.0","1210","0.152","78","38.6","27.3","5.6","6.0","1.4","0.3",".463",".324",".839","10.9",".174",2013
"202","6","Tony Parker","30","SAS","0.0","86.0","1210","0.071","66","32.9","20.3","3.0","7.6","0.8","0.1",".522",".353",".845","9.3",".206",2013
"203","7","Tim Duncan","36","SAS","0.0","65.0","1210","0.054","69","30.1","17.8","9.9","2.7","0.7","2.7",".502",".286",".817","8.3",".191",2013
"204","8","James Harden","23","HOU","0.0","33.0","1210","0.027","78","38.3","25.9","4.9","5.8","1.8","0.5",".438",".368",".851","12.8",".206",2013
"205","9","Russell Westbrook","24","OKC","0.0","9.0","1210","0.007","82","34.9","23.2","5.2","7.4","1.8","0.3",".438",".323",".800","11.6",".195",2013
"206","10","Dwyane Wade","31","MIA","0.0","5.0","1210","0.004","69","34.7","21.2","5.0","5.1","1.9","0.8",".521",".258",".725","9.6",".192",2013
"207","11","Stephen Curry","24","GSW","0.0","3.0","1210","0.002","78","38.2","22.9","4.0","6.9","1.6","0.2",".451",".453",".900","11.2",".180",2013
"208","12T","Kevin Garnett","36","BOS","0.0","1.0","1210","0.001","68","29.7","14.8","7.8","2.3","1.1","0.9",".496",".125",".786","5.6",".133",2013
"209","12T","Marc Gasol","28","MEM","0.0","1.0","1210","0.001","80","35.0","14.1","7.8","4.0","1.0","1.7",".494",".071",".848","11.5",".197",2013
"210","12T","Ty Lawson","25","DEN","0.0","1.0","1210","0.001","73","34.4","16.7","2.7","6.9","1.5","0.1",".461",".366",".756","7.4",".141",2013
"211","12T","David Lee","29","GSW","0.0","1.0","1210","0.001","79","36.8","18.5","11.2","3.5","0.8","0.3",".519",".000",".797","9.1",".150",2013
"212","12T","Joakim Noah","27","CHI","0.0","1.0","1210","0.001","66","36.8","11.9","11.1","4.0","1.2","2.1",".481",".000",".751","7.3",".145",2013
"213","1","Kevin Durant","25","OKC","119.0","1232.0","1250","0.986","81","38.5","32.0","7.4","5.5","1.3","0.7",".503",".391",".873","19.2",".295",2014
"214","2","LeBron James","29","MIA","6.0","891.0","1250","0.713","77","37.7","27.1","6.9","6.3","1.6","0.3",".567",".379",".750","15.9",".264",2014
"215","3","Blake Griffin","24","LAC","0.0","434.0","1250","0.347","80","35.8","24.1","9.5","3.9","1.2","0.6",".528",".273",".715","12.2",".205",2014
"216","4","Joakim Noah","28","CHI","0.0","322.0","1250","0.258","80","35.3","12.6","11.3","5.4","1.2","1.5",".475",".000",".737","11.2",".190",2014
"217","5","James Harden","24","HOU","0.0","85.0","1250","0.068","73","38.0","25.4","4.7","6.1","1.6","0.4",".456",".366",".866","12.8",".221",2014
"218","6","Stephen Curry","25","GSW","0.0","66.0","1250","0.053","78","36.5","24.0","4.3","8.5","1.6","0.2",".471",".424",".885","13.4",".225",2014
"219","7","Chris Paul","28","LAC","0.0","45.0","1250","0.036","62","35.0","19.1","4.3","10.7","2.5","0.1",".467",".368",".855","12.2",".270",2014
"220","8","Al Jefferson","29","CHA","0.0","34.0","1250","0.027","73","35.0","21.8","10.8","2.1","0.9","1.1",".509",".200",".690","7.8",".146",2014
"221","9","Paul George","23","IND","0.0","33.0","1250","0.026","80","36.2","21.7","6.8","3.5","1.9","0.3",".424",".364",".864","10.8",".178",2014
"222","10","LaMarcus Aldridge","28","POR","0.0","26.0","1250","0.021","69","36.2","23.2","11.1","2.6","0.9","1.0",".458",".200",".822","7.5",".144",2014
"223","11","Kevin Love","25","MIN","0.0","25.0","1250","0.020","77","36.3","26.1","12.5","4.4","0.8","0.5",".457",".376",".821","14.3",".245",2014
"224","12T","Tim Duncan","37","SAS","0.0","21.0","1250","0.017","74","29.2","15.1","9.7","3.0","0.6","1.9",".490",".000",".731","7.4",".164",2014
"225","12T","Tony Parker","31","SAS","0.0","21.0","1250","0.017","68","29.4","16.7","2.3","5.7","0.5","0.1",".499",".373",".811","5.9",".141",2014
"226","14","Dirk Nowitzki","35","DAL","0.0","7.0","1250","0.006","80","32.9","21.7","6.2","2.7","0.9","0.6",".497",".398",".899","10.9",".199",2014
"227","15","Carmelo Anthony","29","NYK","0.0","4.0","1250","0.003","77","38.7","27.4","8.1","3.1","1.2","0.7",".452",".402",".848","10.7",".172",2014
"228","16","Goran Dragić","27","PHO","0.0","3.0","1250","0.002","76","35.1","20.3","3.2","5.9","1.4","0.3",".505",".408",".760","10.3",".186",2014
"229","17","Mike Conley","26","MEM","0.0","1.0","1250","0.001","73","33.5","17.2","2.9","6.0","1.5","0.2",".450",".361",".815","8.2",".161",2014
"230","1","Stephen Curry","26","GSW","100.0","1198.0","1300","0.922","80","32.7","23.8","4.3","7.7","2.0","0.2",".487",".443",".914","15.7",".288",2015
"231","2","James Harden","25","HOU","25.0","936.0","1300","0.720","81","36.8","27.4","5.7","7.0","1.9","0.7",".440",".375",".868","16.4",".265",2015
"232","3","LeBron James","30","CLE","5.0","552.0","1300","0.425","69","36.1","25.3","6.0","7.4","1.6","0.7",".488",".354",".710","10.4",".199",2015
"233","4","Russell Westbrook","26","OKC","0.0","352.0","1300","0.271","67","34.4","28.1","7.3","8.6","2.1","0.2",".426",".299",".835","10.6",".222",2015
"234","5","Anthony Davis","21","NOP","0.0","203.0","1300","0.156","68","36.1","24.4","10.2","2.2","1.5","2.9",".535",".083",".805","14.0",".274",2015
"235","6","Chris Paul","29","LAC","0.0","124.0","1300","0.095","82","34.8","19.1","4.6","10.2","1.9","0.2",".485",".398",".900","16.1",".270",2015
"236","7","LaMarcus Aldridge","29","POR","0.0","6.0","1300","0.005","71","35.4","23.4","10.2","1.7","0.7","1.0",".466",".352",".845","8.6",".165",2015
"237","8T","Marc Gasol","30","MEM","0.0","3.0","1300","0.002","81","33.2","17.4","7.8","3.8","0.9","1.6",".494",".176",".795","10.2",".182",2015
"238","8T","Blake Griffin","25","LAC","0.0","3.0","1300","0.002","67","35.2","21.9","7.6","5.3","0.9","0.5",".502",".400",".728","9.0",".183",2015
"239","10T","Tim Duncan","38","SAS","0.0","1.0","1300","0.001","77","28.9","13.9","9.1","3.0","0.8","2.0",".512",".286",".740","9.6",".207",2015
"240","10T","Kawhi Leonard","23","SAS","0.0","1.0","1300","0.001","64","31.8","16.5","7.2","2.5","2.3","0.8",".479",".349",".802","8.6",".204",2015
"241","10T","Klay Thompson","24","GSW","0.0","1.0","1300","0.001","77","31.9","21.7","3.2","2.9","1.1","0.8",".463",".439",".879","8.8",".172",2015
"242","1","Stephen Curry","27","GSW","131.0","1310.0","1310","1.000","79","34.2","30.1","5.4","6.7","2.1","0.2",".504",".454",".908","17.9",".318",2016
"243","2","Kawhi Leonard","24","SAS","0.0","634.0","1310","0.484","72","33.1","21.2","6.8","2.6","1.8","1.0",".506",".443",".874","13.7",".277",2016
"244","3","LeBron James","31","CLE","0.0","631.0","1310","0.482","76","35.6","25.3","7.4","6.8","1.4","0.6",".520",".309",".731","13.6",".242",2016
"245","4","Russell Westbrook","27","OKC","0.0","486.0","1310","0.371","80","34.4","23.5","7.8","10.4","2.0","0.3",".454",".296",".812","14.0",".245",2016
"246","5","Kevin Durant","27","OKC","0.0","147.0","1310","0.112","72","35.8","28.2","8.2","5.0","1.0","1.2",".505",".387",".898","14.5",".270",2016
"247","6","Chris Paul","30","LAC","0.0","107.0","1310","0.082","74","32.7","19.5","4.2","10.0","2.1","0.2",".462",".371",".896","12.7",".253",2016
"248","7","Draymond Green","25","GSW","0.0","50.0","1310","0.038","81","34.7","14.0","9.5","7.4","1.5","1.4",".490",".388",".696","11.1",".190",2016
"249","8","Damian Lillard","25","POR","0.0","26.0","1310","0.020","75","35.7","25.1","4.0","6.8","0.9","0.4",".419",".375",".892","9.2",".165",2016
"250","9","James Harden","26","HOU","0.0","9.0","1310","0.007","82","38.1","29.0","6.1","7.5","1.7","0.6",".439",".359",".860","13.3",".204",2016
"251","10","Kyle Lowry","29","TOR","0.0","6.0","1310","0.005","77","37.0","21.2","4.7","6.4","2.1","0.4",".427",".388",".811","11.6",".196",2016
"252","1","Russell Westbrook","28","OKC","69.0","888.0","1010","0.879","81","34.6","31.6","10.7","10.4","1.6","0.4",".425",".343",".845","13.1",".224",2017
"253","2","James Harden","27","HOU","22.0","753.0","1010","0.746","81","36.4","29.1","8.1","11.2","1.5","0.5",".440",".347",".847","15.0",".245",2017
"254","3","Kawhi Leonard","25","SAS","9.0","500.0","1010","0.495","74","33.4","25.5","5.8","3.5","1.8","0.7",".485",".380",".880","13.6",".264",2017
"255","4","LeBron James","32","CLE","1.0","333.0","1010","0.330","74","37.8","26.4","8.6","8.7","1.2","0.6",".548",".363",".674","12.9",".221",2017
"256","5","Isaiah Thomas","27","BOS","0.0","81.0","1010","0.080","76","33.8","28.9","2.7","5.9","0.9","0.2",".463",".379",".909","12.5",".234",2017
"257","6","Stephen Curry","28","GSW","0.0","52.0","1010","0.051","79","33.4","25.3","4.5","6.6","1.8","0.2",".468",".411",".898","12.6",".229",2017
"258","7T","Giannis Antetokounmpo","22","MIL","0.0","7.0","1010","0.007","80","35.6","22.9","8.8","5.4","1.6","1.9",".521",".272",".770","12.4",".210",2017
"259","7T","John Wall","26","WAS","0.0","7.0","1010","0.007","78","36.4","23.1","4.2","10.7","2.0","0.6",".451",".327",".801","8.8",".149",2017
"260","9T","Anthony Davis","23","NOP","0.0","2.0","1010","0.002","75","36.1","28.0","11.8","2.1","1.3","2.2",".505",".299",".802","11.0",".195",2017
"261","9T","Kevin Durant","28","GSW","0.0","2.0","1010","0.002","62","33.4","25.1","8.3","4.8","1.1","1.6",".537",".375",".875","12.0",".278",2017
"262","11","DeMar DeRozan","27","TOR","0.0","1.0","1010","0.001","74","35.4","27.3","5.2","3.9","1.1","0.2",".467",".266",".842","9.0",".166",2017
"263","1","James Harden","28","HOU","86.0","965.0","1010","0.955","72","35.4","30.4","5.4","8.8","1.8","0.7",".449",".367",".858","15.4",".289",2018
"264","2","LeBron James","33","CLE","15.0","738.0","1010","0.731","82","36.9","27.5","8.6","9.1","1.4","0.9",".542",".367",".731","14.0",".221",2018
"265","3","Anthony Davis","24","NOP","0.0","445.0","1010","0.441","75","36.4","28.1","11.1","2.3","1.5","2.6",".534",".340",".828","13.7",".241",2018
"266","4","Damian Lillard","27","POR","0.0","207.0","1010","0.205","73","36.6","26.9","4.5","6.6","1.1","0.4",".439",".361",".916","12.6",".227",2018
"267","5","Russell Westbrook","29","OKC","0.0","76.0","1010","0.075","80","36.4","25.4","10.1","10.3","1.8","0.3",".449",".298",".737","10.1",".166",2018
"268","6","Giannis Antetokounmpo","23","MIL","0.0","75.0","1010","0.074","75","36.7","26.9","10.0","4.8","1.5","1.4",".529",".307",".760","11.9",".207",2018
"269","7","Kevin Durant","29","GSW","0.0","66.0","1010","0.065","68","34.2","26.4","6.8","5.4","0.7","1.8",".516",".419",".889","10.4",".215",2018
"270","8","DeMar DeRozan","28","TOR","0.0","32.0","1010","0.032","80","33.9","23.0","3.9","5.2","1.1","0.3",".456",".310",".825","9.6",".170",2018
"271","9","LaMarcus Aldridge","32","SAS","0.0","6.0","1010","0.006","75","33.5","23.1","8.5","2.0","0.6","1.2",".510",".293",".837","10.9",".209",2018
"272","10T","Jimmy Butler","28","MIN","0.0","5.0","1010","0.005","59","36.7","22.2","5.3","4.9","2.0","0.4",".474",".350",".854","8.9",".198",2018
"273","10T","Stephen Curry","29","GSW","0.0","5.0","1010","0.005","51","32.0","26.4","5.1","6.1","1.6","0.2",".495",".423",".921","9.1",".267",2018
"274","12","Joel Embiid","23","PHI","0.0","4.0","1010","0.004","63","30.3","22.9","11.0","3.2","0.6","1.8",".483",".308",".769","6.2",".155",2018
"275","13","Victor Oladipo","25","IND","0.0","2.0","1010","0.002","75","34.0","23.1","5.2","4.3","2.4","0.8",".477",".371",".799","8.2",".155",2018
"276","1","Giannis Antetokounmpo","24","MIL","78.0","941.0","1010","0.932","72","32.8","27.7","12.5","5.9","1.3","1.5",".578",".256",".729","14.4",".292",2019
"277","2","James Harden","29","HOU","23.0","776.0","1010","0.768","78","36.8","36.1","6.6","7.5","2.0","0.7",".442",".368",".879","15.2",".254",2019
"278","3","Paul George","28","OKC","0.0","356.0","1010","0.352","77","36.9","28.0","8.2","4.1","2.2","0.4",".438",".386",".839","11.9",".201",2019
"279","4","Nikola Jokić","23","DEN","0.0","212.0","1010","0.210","80","31.3","20.1","10.8","7.3","1.4","0.7",".511",".307",".821","11.8",".226",2019
"280","5","Stephen Curry","30","GSW","0.0","175.0","1010","0.173","69","33.8","27.3","5.3","5.2","1.3","0.4",".472",".437",".916","9.7",".199",2019
"281","6","Damian Lillard","28","POR","0.0","69.0","1010","0.068","80","35.5","25.8","4.6","6.9","1.1","0.4",".444",".369",".912","12.1",".205",2019
"282","7","Joel Embiid","24","PHI","0.0","49.0","1010","0.049","64","33.7","27.5","13.6","3.7","0.7","1.9",".484",".300",".804","8.7",".194",2019
"283","8","Kevin Durant","30","GSW","0.0","25.0","1010","0.025","78","34.6","26.0","6.4","5.9","0.7","1.1",".521",".353",".885","11.5",".204",2019
"284","9","Kawhi Leonard","27","TOR","0.0","13.0","1010","0.013","60","34.0","26.6","7.3","3.3","1.8","0.4",".496",".371",".854","9.5",".224",2019
"285","10","Russell Westbrook","30","OKC","0.0","8.0","1010","0.008","73","36.0","22.9","11.1","10.7","1.9","0.5",".428",".290",".656","6.8",".124",2019
"286","11T","Rudy Gobert","26","UTA","0.0","1.0","1010","0.001","81","31.8","15.9","12.9","2.0","0.8","2.3",".669","",".636","14.4",".268",2019
"287","11T","LeBron James","34","LAL","0.0","1.0","1010","0.001","55","35.2","27.4","8.5","8.3","1.3","0.6",".510",".339",".665","7.2",".179",2019
"288","1","Giannis Antetokounmpo","25","MIL","85.0","962.0","1010","0.952","63","30.4","29.5","13.6","5.6","1.0","1.0",".553",".304",".633","11.1",".279",2020
"289","2","LeBron James","35","LAL","16.0","753.0","1010","0.746","67","34.6","25.3","7.8","10.2","1.2","0.5",".493",".348",".693","9.8",".204",2020
"290","3","James Harden","30","HOU","0.0","367.0","1010","0.363","68","36.5","34.3","6.6","7.5","1.8","0.9",".444",".355",".865","13.1",".254",2020
"291","4","Luka Dončić","20","DAL","0.0","200.0","1010","0.198","61","33.6","28.8","9.4","8.8","1.0","0.2",".463",".316",".758","8.8",".207",2020
"292","5","Kawhi Leonard","28","LAC","0.0","168.0","1010","0.166","57","32.4","27.1","7.1","4.9","1.8","0.6",".470",".378",".886","8.7",".226",2020
"293","6","Anthony Davis","26","LAL","0.0","82.0","1010","0.081","62","34.4","26.1","9.3","3.2","1.5","2.3",".503",".330",".846","11.1",".250",2020
"294","7","Chris Paul","34","OKC","0.0","26.0","1010","0.026","70","31.5","17.6","5.0","6.7","1.6","0.2",".489",".365",".907","8.9",".193",2020
"295","8","Damian Lillard","29","POR","0.0","23.0","1010","0.023","66","37.5","30.0","4.3","8.0","1.1","0.3",".463",".401",".888","11.6",".225",2020
"296","9","Nikola Jokić","24","DEN","0.0","18.0","1010","0.018","73","32.0","19.9","9.7","7.0","1.2","0.6",".528",".314",".817","9.8",".202",2020
"297","10","Pascal Siakam","25","TOR","0.0","17.0","1010","0.017","60","35.2","22.9","7.3","3.5","1.0","0.9",".453",".359",".792","5.4",".123",2020
"298","11","Jimmy Butler","30","MIA","0.0","9.0","1010","0.009","58","33.8","19.9","6.7","6.0","1.8","0.6",".455",".244",".834","9.0",".221",2020
"299","12","Jayson Tatum","21","BOS","0.0","1.0","1010","0.001","66","34.3","23.4","7.0","3.0","1.4","0.9",".450",".403",".812","6.9",".146",2020
"300","1","Nikola Jokić","25","DEN","91.0","971.0","1010","0.961","72","34.6","26.4","10.8","8.3","1.3","0.7",".566",".388",".868","15.6",".301",2021
"301","2","Joel Embiid","26","PHI","1.0","586.0","1010","0.580","51","31.1","28.5","10.6","2.8","1.0","1.4",".513",".377",".859","8.8",".266",2021
"302","3","Stephen Curry","32","GSW","5.0","453.0","1010","0.449","63","34.2","32.0","5.5","5.8","1.2","0.1",".482",".421",".916","9.0",".201",2021
"303","4","Giannis Antetokounmpo","26","MIL","1.0","348.0","1010","0.345","61","33.0","28.1","11.0","5.9","1.2","1.2",".569",".303",".685","10.2",".244",2021
"304","5","Chris Paul","35","PHO","2.0","139.0","1010","0.138","70","31.4","16.4","4.5","8.9","1.4","0.3",".499",".395",".934","9.2",".201",2021
"305","6","Luka Dončić","21","DAL","0.0","42.0","1010","0.042","66","34.3","27.7","8.0","8.6","1.0","0.5",".479",".350",".730","7.7",".163",2021
"306","7","Damian Lillard","30","POR","0.0","38.0","1010","0.038","67","35.8","28.8","4.2","7.5","0.9","0.3",".451",".391",".928","10.4",".209",2021
"307","8","Julius Randle","26","NYK","0.0","20.0","1010","0.020","71","37.6","24.1","10.2","6.0","0.9","0.3",".456",".411",".811","7.8",".140",2021
"308","9","Derrick Rose","32","TOT","1.0","10.0","1010","0.010","50","25.6","14.7","2.6","4.2","1.0","0.4",".470",".388",".866","3.1",".118",2021
"309","10","Rudy Gobert","28","UTA","0.0","8.0","1010","0.008","71","30.8","14.3","13.5","1.3","0.6","2.7",".675",".000",".623","11.3",".248",2021
"310","11","Russell Westbrook","32","WAS","0.0","5.0","1010","0.005","65","36.4","22.2","11.5","11.7","1.4","0.4",".439",".315",".656","3.7",".075",2021
"311","12","Ben Simmons","24","PHI","0.0","3.0","1010","0.003","58","32.4","14.3","7.2","6.9","1.6","0.6",".557",".300",".613","6.0",".153",2021
"312","13T","James Harden","31","TOT","0.0","1.0","1010","0.001","44","36.6","24.6","7.9","10.8","1.2","0.8",".466",".362",".861","7.0",".208",2021
"313","13T","LeBron James","36","LAL","0.0","1.0","1010","0.001","45","33.4","25.0","7.7","7.8","1.1","0.6",".513",".365",".698","5.6",".179",2021
"314","13T","Kawhi Leonard","29","LAC","0.0","1.0","1010","0.001","52","34.1","24.8","6.5","5.2","1.6","0.4",".512",".398",".885","8.8",".238",2021
